H-Y H-9 H-U H-3 H-E H-L H-I H-K H-2 RR-Y9 RR-9U RR-U3 RR-3E RR-EL RR-LI RR-IK RR-KE RR-E2 RR-22 ID
864 1488 1248 1504 1376 992 1248 1728 1248 727 391 656 266 62 157 170 48 188 156 176
1264 960 1280 1280 1424 944 1280 1264 1272 1081 380 740 299 40 161 159 60 180 181 176
1248 1248 1248 2000 1296 1264 1248 1424 1248 922 250 453 380 58 156 167 52 187 172 176
1280 1280 1280 1920 1592 944 1280 1280 1280 540 360 340 340 39 181 160 59 181 180 176
1248 1392 752 1744 1496 1248 1248 1744 1480 797 719 593 360 93 282 687 78 502 170 176
1280 1280 1280 1904 1120 960 1264 1600 1280 1006 185 1694 259 80 149 160 40 159 180 176
1280 1280 1600 1600 1584 944 1280 1264 1272 947 209 324 408 40 155 154 80 199 150 176
1264 1104 1184 1440 1360 2384 2016 1936 1504 993 1066 578 262 331 47 261 113 444 151 206
1360 816 1248 1968 1232 2224 1856 1520 1672 1223 580 576 266 318 36 231 112 310 166 206
1344 1344 1184 1520 1344 1952 1856 1952 1480 1703 786 1632 501 277 69 170 115 1570 156 206
1184 1184 1360 1184 1608 2192 2096 1872 1440 2151 923 3084 473 290 69 192 156 1238 141 206
1344 1264 1472 1280 1288 2144 2032 1776 1520 2639 1438 2213 332 264 62 180 119 829 162 206
1360 1664 1264 1360 1488 1856 2032 2112 1488 1121 376 600 444 239 69 192 134 414 161 206
1248 1136 1280 1360 1344 2032 2288 1680 1568 802 503 334 422 269 69 193 149 301 161 206
1440 1344 1184 1776 1528 2544 2032 1856 1520 1929 299 564 429 409 53 438 160 458 159 206
1440 1008 944 1440 1696 2288 1952 1696 1528 846 848 603 1820 320 58 216 184 468 154 206
1104 1008 1344 1104 1512 2464 2032 1856 1480 1789 1293 668 226 329 58 234 164 661 168 206
1168 1104 1120 1440 1472 2288 1744 1776 1784 451 762 429 325 283 42 335 150 959 179 206
1344 1184 1264 1600 1520 2288 2032 1856 1480 640 846 344 279 262 53 260 144 398 171 206
1376 1264 1088 1344 1688 1872 1872 1936 1264 975 648 336 323 268 53 277 445 776 173 206
1344 1264 1520 1456 1520 2800 2368 2208 1608 652 782 509 226 304 47 311 152 512 152 206
1344 1104 1184 1264 1408 1936 2112 1936 1560 744 329 560 253 267 53 244 132 495 168 206
1360 1184 1344 1696 1392 1872 1952 2032 1736 1453 758 448 547 293 63 232 122 494 162 206
1312 1184 1184 1392 1312 2192 1792 1872 1344 522 1219 700 212 291 43 208 123 378 160 206
1360 1184 1104 1616 1480 2112 2096 1952 1696 2202 409 519 255 252 58 234 115 429 187 206
1344 1104 1024 1248 1432 2272 2032 1856 1560 591 227 847 225 259 48 248 134 724 156 206
1280 1200 1296 1104 1400 2224 2032 1872 1520 1182 476 299 240 247 41 227 133 648 162 206
1184 1184 1008 1184 1352 2512 1952 1504 1528 1068 547 274 459 268 39 212 122 416 160 206
1264 1104 1104 1360 1272 2272 2112 1856 1640 914 462 226 426 272 53 225 95 371 180 206
1216 1440 1344 1184 1272 2032 2320 1616 1272 684 492 241 270 214 78 181 127 328 176 206
1440 1264 1152 1536 1488 1696 1952 1760 1696 631 514 498 422 250 64 277 133 750 162 206
1520 1264 1680 1440 1400 2208 2448 1440 1528 1471 216 329 453 256 79 372 136 959 158 206
1184 1344 1440 1440 1392 1856 2032 1696 1480 675 367 354 451 255 53 292 121 402 134 206
1360 1344 1264 1344 1760 1648 1952 1440 1432 675 409 337 428 243 48 195 143 377 126 206
1264 1184 1184 1184 1312 2592 1856 1360 1480 788 515 1677 243 351 50 211 151 357 162 206
144 1184 1184 1328 1152 2032 2528 1792 1608 1261 782 820 277 279 63 240 120 673 178 206
1264 1200 1264 1264 1312 2448 1936 1520 1520 573 545 305 233 287 53 231 146 434 162 206
1184 1264 1344 1520 1304 1808 1776 1856 1432 996 242 448 246 274 41 283 117 419 495 206
1040 1184 1600 1440 1360 2288 2448 1776 1400 1218 188 1110 365 296 63 212 138 2070 159 206
1184 1296 1232 1344 1432 2448 2032 1504 1456 981 210 476 238 279 53 248 144 419 156 206
1344 1280 1264 1344 1208 2448 2128 1600 1568 918 248 417 254 267 48 218 118 377 161 206
1536 1168 1184 1360 1392 2848 2832 1696 1480 603 464 444 303 297 63 214 95 351 154 206
1504 1440 1280 1440 1472 2624 2272 1952 1528 559 856 704 223 314 68 265 145 688 153 206
1280 1344 1520 1600 3928 2512 1696 1776 1784 1384 312 681 313 309 63 212 431 159 194 206
1264 1184 1104 1440 1152 2384 2208 2688 1264 694 546 341 326 281 53 254 55 400 161 206
